file,file_in_repo,repo,repo_version,name,parent_function
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.cosh,ttfsinh
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfsinh
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.expand_dims,ttfexpand_dims
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfexpand_dims
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.squeeze,ttfsqueeze
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfsqueeze
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.reshape,ttfreshape
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfreshape
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.reduce_sum,ttfreduce_sum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfreduce_sum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.reduce_mean,ttfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfreduce_mean
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.unreduce,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.ones_like,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.shape_as_list,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfreduce_max
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.negative,ttfnegative
